# As of 20260313 this has all the ASDM uids that used to be included
# in old files: asdm_sizes_cv_misc.txt,
#               asdm_sizes_plwg_Calonly_r42517_c5.6.18.txt
#               asdm_sizes_plwg_img_5.6.1_201909.txt
#               du_rawdata_asdms_all.txt (up to 202603)
35868606,uid___A002_Xd10966_X8e1
1688033,uid___A002_Xd0a588_X330e
1686141,uid___A002_Xdbc154_X3005
1683582,uid___A002_Xdbc154_Xabda
29403443,uid___A002_Xd0adbe_X7433
7966008,uid___A002_Xd0c264_Xd25
1386175,uid___A002_Xdc0d09_X1938
1386159,uid___A002_Xdc0d09_X240f
1386159,uid___A002_Xdc0d09_X2e44
1386159,uid___A002_Xdc0d09_Xe04
39489628,uid___A002_Xc74b5b_X316a
2257971,uid___A002_Xd0adbe_Xaea
51508162,uid___A002_Xd0adbe_X9035
49175781,uid___A002_Xd28703_X443
23459068,uid___A002_Xd28703_X228
5352883,uid___A002_Xc89480_Xe3df
5664036,uid___A002_Xc8b2b0_X65dc
874270,uid___A002_Xc845c0_X7366
874251,uid___A002_Xc845c0_X8166
1095723,uid___A002_Xcdb7b8_X8618
873788,uid___A002_Xcdb7b8_X96ea
1323569,uid___A002_Xd0d9b9_X70d
34398046,uid___A002_Xd0a588_X2803
11002863,uid___A002_Xd3e89f_X83c3
10535905,uid___A002_Xd490e7_X7316
1919124,uid___A002_Xcb5bc7_Xa6fc
2111488,uid___A002_Xccde5b_X1d7b
1922001,uid___A002_Xccea8d_Xc27f
1863925,uid___A002_Xcd07af_X2bdf
1863925,uid___A002_Xcd07af_X4465
1922020,uid___A002_Xcd1950_X202a
1922001,uid___A002_Xcd1950_X2c27
1922001,uid___A002_Xcd1950_X37b8
1863925,uid___A002_Xcd2acd_X28f5
8291341,uid___A002_Xd0adbe_X7b64
7612854,uid___A002_Xd0adbe_Xd5a
68494512,uid___A002_Xdfdfa9_X8fba
1683660,uid___A002_Xdbc154_X3005
1683582,uid___A002_Xdbc154_Xabda
7612854,uid___A002_Xd0adbe_Xd5a
8291341,uid___A002_Xd0adbe_X7b64
1355520,uid___A002_Xdfdfa9_Xa8df
7548525,uid___A002_Xdfdfa9_Xa2ad
10572750,uid___A002_Xd7be9d_X499e
13041191,uid___A002_Xca6c94_X4de2
2496165,uid___A002_Xd3098b_X4014
815348,uid___A002_Xd0a588_X1e07
27298396,uid___A002_Xc02418_X29c8
25898287,uid___A002_Xd0adbe_X9e85
6304879,uid___A002_Xdfdfa9_X630f
36038780,uid___A002_Xbd203b_X2115
2048801,uid___A002_Xcc8b19_X7d1b
1748861,uid___A002_Xca6c94_X4b26
2725200,uid___A002_Xcc8b19_X3283
862345,uid___A002_Xca6c94_X5376
2106166,uid___A002_Xca525b_X14d6
2418552,uid___A002_Xc91189_X2368
2417853,uid___A002_Xc8d560_X66fa
2433386,uid___A002_Xcb4a8e_X3734
35804560,uid___A002_Xc7e4e4_X4302
871010,uid___A002_Xc33ac1_X1273
706743,uid___A002_Xc3412f_X39f8
1111490,uid___A002_Xc3412f_X2a7d
14965841,uid___A002_Xc8b2b0_Xe4c9
339797,uid___A002_Xae4720_X57fe
339797,uid___A002_Xae4720_X5b5e
23459068,uid___A002_Xd28703_X228
1993672,uid___A002_Xc743d2_X2e3b
1922001,uid___A002_Xcd1950_X2c27
1922001,uid___A002_Xcd1950_X37b8
1922020,uid___A002_Xcd1950_X202a
1863925,uid___A002_Xcd07af_X4465
1863925,uid___A002_Xcd07af_X2bdf
1863925,uid___A002_Xcd2acd_X28f5
2111488,uid___A002_Xccde5b_X1d7b
1922001,uid___A002_Xccea8d_Xc27f
1919124,uid___A002_Xcb5bc7_Xa6fc
2011361,uid___A002_Xdfdfa9_X9398
2025409,uid___A002_Xc6c0d5_X7ad0
1742331,uid___A002_Xc694dd_Xfd
2087932,uid___A002_Xc6c0d5_X763a
2375007,uid___A002_Xc6d2f9_X286d
2377899,uid___A002_Xc6d2f9_X22c7
2378037,uid___A002_Xc6d2f9_X73cd
2088533,uid___A002_Xc694dd_X4478
2027456,uid___A002_Xc6c0d5_X71ec
2375971,uid___A002_Xc6d2f9_X2f95
1949341,uid___A002_Xdbc154_X4f56
70506128,uid___A002_Xd18751_X14db
73334074,uid___A002_Xd10966_X11ab
70677217,uid___A002_Xd18751_X18c
1095723,uid___A002_Xcdb7b8_X8618
873788,uid___A002_Xcdb7b8_X96ea
874270,uid___A002_Xc845c0_X7366
874251,uid___A002_Xc845c0_X8166
26159045,uid___A002_Xca8fbf_X5733
3774640,uid___A002_Xc33ac1_X1b26
1737902,uid___A002_Xdaef5a_X13ad2
1804627,uid___A002_Xdb136e_X1b68
105895839,uid___A002_Xd60a42_X1a41
30456229,uid___A002_Xd0adbe_X7644
35868606,uid___A002_Xd10966_X8e1
19471318,uid___A002_Xc499a7_X18e0
6510783,uid___A002_Xdfdfa9_X68ed
6447706,uid___A002_Xdfdfa9_X65e1
12985148,uid___A002_Xc36369_X1e59
11002863,uid___A002_Xd3e89f_X83c3
10535905,uid___A002_Xd490e7_X7316
23019059,uid___A002_Xcf525f_X1b8c
637754,uid___A002_Xd0adbe_Xe3
1424673,uid___A002_Xdfdfa9_X625a
9186016,uid___A002_Xc8592e_Xd7b4
9572230,uid___A002_Xc8592e_Xd00e
9183810,uid___A002_Xc889b6_X2c83
9384579,uid___A002_Xc889b6_X2911
1214786,uid___A002_Xb08ef9_X5f34
1214550,uid___A002_Xb08ef9_X5902
1214888,uid___A002_Xb08ef9_X5194
1434661,uid___A002_Xdfdfa9_Xb5cb
2162415,uid___A002_Xb9cc97_X45fe
1909835,uid___A002_Xb8fee5_X2b1
969902,uid___A002_Xb8fee5_X6bb
2273402,uid___A002_Xb91513_X1030
6035391,uid___A002_Xb020f7_X51c9
8637826,uid___A002_Xd10966_X45f
1845680,uid___A002_Xd28703_Xa67
1172145,uid___A002_Xd0adbe_X97bf
101285326,uid___A002_Xd0adbe_X5d24
1673333,uid___A002_Xc3412f_X5f8
860868,uid___A002_Xd0adbe_X2583
1046836,uid___A002_Xd28703_X18c
51960095,uid___A002_Xaea19c_X2db0
51960095,uid___A002_Xaea19c_X2cb3
14370411,uid___A002_Xdbc154_X50bd
1727522,uid___A002_Xbb0685_X4e96
67018669,uid___A002_Xcf525f_X134d
26374189,uid___A002_Xdfdfa9_X6d0b
34877138,uid___A002_Xcbdb2a_X10512
45021924,uid___A002_Xaef195_X458c
1045120,uid___A002_Xbbadbe_X33fc
11740186,uid___A002_Xb10f33_X9d91
29403443,uid___A002_Xd0adbe_X7433
7966008,uid___A002_Xd0c264_Xd25
1036514,uid___A002_Xd0adbe_X7903
16236717,uid___A002_Xe0326c_X1b2a
371317,uid___A002_Xdfdfa9_Xb1bf
2074259,uid___A002_Xd0a588_X2239
23019963,uid___A002_Xb8e115_X4917
13279046,uid___A002_Xcbc47c_Xe556
4074902,uid___A002_Xdfdfa9_X714b
73314066,uid___A002_Xd20b17_X9356
62984172,uid___A002_Xb99699_Xaed
1692644,uid___A002_Xd0a588_X4d7
2508725,uid___A002_Xd28703_X3a8
5422317,uid___A002_Xc96f17_X3b8f
5422298,uid___A002_Xc96f17_Xcd7b
5422314,uid___A002_Xc96f17_Xc1ef
5421835,uid___A002_Xcad526_X4cb7
7168910,uid___A002_Xdfdfa9_X9c88
106421007,uid___A002_Xe0326c_X1f3e
113827048,uid___A002_Xc354fa_X1832
